Date/Time,Electricity:HVAC [J](TimeStep),Heating:Electricity [J](TimeStep),Cooling:Electricity [J](TimeStep),InteriorLights:Electricity [J](TimeStep),Electricity:Facility [J](Hourly) 
 01/01  09:00:00,11134705.469847262,6277485.58255338,0.0,1786811.399999996,20610220.469847254 
 01/01  10:00:00,6956649.359828417,2099429.4725345345,0.0,1786811.399999996,16432164.35982841 
 01/01  11:00:00,5268712.315766634,411492.4284727514,0.0,1786811.399999996,14744227.315766625 
 01/01  12:00:00,1512735.889335508,0.0,0.0,1786811.399999996,10988250.8893355 
 01/01  13:00:00,497808.17337678693,0.0,0.0,1786811.399999996,9973323.173376778 
 01/01  14:00:00,497808.17337678693,0.0,0.0,1786811.399999996,9973323.173376778 
 01/01  15:00:00,748545.8032961361,0.0,250737.62991934916,1786811.399999996,10224060.803296126 
 01/01  16:00:00,968416.8224999296,0.0,470608.6491231426,1786811.399999996,10443931.82249992 
 01/01  17:00:00,1082433.4798600024,0.0,584625.3064832154,1786811.399999996,10557948.479859993 
 01/01  18:00:00,1615096.6891297388,0.0,700425.7959679386,1786811.399999996,11090611.68912973 
 01/01  19:00:00,5585395.620973632,1159304.8099018962,252415.73472887417,1786811.399999996,15060910.620973624 
 01/01  20:00:00,7166095.40128871,1940810.020795035,368065.4931997909,1786811.399999996,16641610.401288694 
 01/01  21:00:00,9607264.237137172,4039676.84699023,710367.5028530604,1786811.399999996,19082779.23713716 
 01/01  22:00:00,11037756.24650379,5121315.273261303,1059221.0859486058,1786811.399999996,20513271.24650378 
 01/01  23:00:00,11641767.152767405,5702063.395143509,1082483.8703300143,1786811.399999996,21117282.152767397 
 01/01  24:00:00,12064403.2590133,6220900.474317897,986282.8974015223,1786811.399999996,21539918.25901329 
 01/02  01:00:00,39710989.1877772,33845622.76956797,1008146.5309153401,1786811.399999996,51749405.387777194 
 01/02  02:00:00,31568444.10733706,25687902.14374619,1023322.0762969896,1786811.399999996,43606860.30733705 
 01/02  03:00:00,32996364.052612256,26836223.252179146,1302920.91313923,1786811.399999996,45034780.25261225 
 01/02  04:00:00,31090596.77672682,24660703.29649971,1572673.5929332273,1786811.399999996,43129012.976726815 
 01/02  05:00:00,30332721.82591673,23745459.351924725,1730042.586698126,1786811.399999996,42371138.025916725 
 01/02  06:00:00,28238058.686767645,21384161.858179517,1996676.9412942487,3573622.799999992,42063286.28676765 
 01/02  07:00:00,62564733.73217937,55288032.022005446,2419481.8228800474,3573622.799999992,76389961.33217935 
 01/02  08:00:00,43290817.59394283,35718334.427299365,2715263.2793495813,10720868.399999974,64263290.7939428 
 01/02  09:00:00,4259090.322392898,0.0,2993279.091171117,32162605.199999925,59487806.322392814 
 01/02  10:00:00,3731547.906654001,0.0,3043220.638787223,32162605.199999925,58960263.906653926 
 01/02  11:00:00,5924888.7631269945,0.0,3068648.024713892,32162605.199999925,61153604.76312692 
 01/02  12:00:00,6988787.346885045,0.0,3145633.3224991336,32162605.199999925,62217503.34688496 
 01/02  13:00:00,7419222.046996218,0.0,3081318.829778089,32162605.199999925,60085036.84699613 
 01/02  14:00:00,6470540.1216462115,0.0,3961554.6510164067,32162605.199999925,61699256.12164613 
 01/02  15:00:00,6649821.513049714,0.0,4128801.4370958973,32162605.199999925,61878537.51304963 
 01/02  16:00:00,7417391.5413245335,0.0,2927730.2016954217,32162605.199999925,62646107.54132445 
 01/02  17:00:00,6620126.877166906,0.0,1760421.8655220885,32162605.199999925,61848842.87716682 
 01/02  18:00:00,2550269.6889782245,26434.91559334181,1175879.2588833836,25015359.599999942,48068838.88897815 
 01/02  19:00:00,11208525.637855811,5248183.581676786,1889266.3572305804,17868113.99999996,44454046.83785574 
 01/02  20:00:00,1243226.8496119443,0.0,745418.6762351575,17868113.99999996,34488748.04961189 
 01/02  21:00:00,4168049.9616846163,707445.3556576967,0.0,10720868.399999974,27703424.361684583 
 01/02  22:00:00,9218986.797739634,4361766.91044575,0.0,10720868.399999974,32754361.1977396 
 01/02  23:00:00,21084962.203971725,15643160.92228267,584581.3943951736,3573622.799999992,34910189.803971715 
 01/02  24:00:00,24583866.700075388,18734696.307027675,991950.5057538336,1786811.399999996,36622282.90007538 
 01/03  01:00:00,25853862.117282297,20012427.017030947,984215.2129574701,1786811.399999996,37892278.3172823 
 01/03  02:00:00,26266654.401790723,20568367.94411684,841066.5703799999,1786811.399999996,38305070.60179071 
 01/03  03:00:00,26708088.37232873,21417210.188413553,433658.29662129446,1786811.399999996,38746504.57232871 
 01/03  04:00:00,26914666.082519587,22057446.19522571,0.0,1786811.399999996,38953082.28251958 
 01/03  05:00:00,27840329.861295402,22983109.974001527,0.0,1786811.399999996,39878746.0612954 
 01/03  06:00:00,26670214.197256934,21812994.30996305,0.0,3573622.799999992,40495441.79725693 
 01/03  07:00:00,61075737.40532869,56218517.51803481,0.0,3573622.799999992,74900965.00532869 
 01/03  08:00:00,42905234.555923715,38048014.66862984,0.0,10720868.399999974,63877707.75592369 
 01/03  09:00:00,2521844.2748784395,1009108.3855429315,0.0,32162605.199999925,57750560.27487835 
 01/03  10:00:00,2069517.3392608722,556781.4499253642,0.0,32162605.199999925,57298233.33926079 
 01/03  11:00:00,2293185.841990041,399411.7636745511,0.0,32162605.199999925,57521901.84198996 
 01/03  12:00:00,2268100.873373291,374326.79505780095,0.0,32162605.199999925,57496816.87337321 
 01/03  13:00:00,4526002.846095622,1531544.0522709172,0.0,32162605.199999925,57191817.64609554 
 01/03  14:00:00,2524444.353070764,630670.2747552737,0.0,32162605.199999925,57753160.353070684 
 01/03  15:00:00,2666093.300682451,772319.2223669608,0.0,32162605.199999925,57894809.300682366 
 01/03  16:00:00,3181238.731140966,1287464.6528254761,0.0,32162605.199999925,58409954.73114088 
 01/03  17:00:00,6724010.765856371,1866790.8785624888,0.0,32162605.199999925,61952726.76585629 
 01/03  18:00:00,15744443.479153909,11077742.686350014,0.0,25015359.599999942,61263012.67915384 
 01/03  19:00:00,33995376.431823574,29138156.54452969,0.0,17868113.99999996,67240897.63182352 
 01/03  20:00:00,3551993.781262495,1137681.637109506,0.0,17868113.99999996,36797514.981262445 
 01/03  21:00:00,18891798.414074548,14034578.526780665,0.0,10720868.399999974,42427172.81407452 
 01/03  22:00:00,23102303.25020533,18245083.36291145,0.0,10720868.399999974,46637677.650205314 
 01/03  23:00:00,36232713.87509557,31375493.98780168,0.0,3573622.799999992,50057941.47509555 
 01/03  24:00:00,39388273.49820171,34531053.61090783,0.0,1786811.399999996,51426689.6982017 
 01/04  01:00:00,40886125.97292055,36028906.08562667,0.0,1786811.399999996,52924542.17292054 
 01/04  02:00:00,41252089.31522122,36394869.42792733,0.0,1786811.399999996,53290505.51522121 
 01/04  03:00:00,42206325.78855274,37349105.901258856,0.0,1786811.399999996,54244741.98855273 
 01/04  04:00:00,43725193.928585544,38867974.041291654,0.0,1786811.399999996,55763610.12858553 
 01/04  05:00:00,44968933.55579616,40111713.66850228,0.0,1786811.399999996,57007349.75579615 
 01/04  06:00:00,44393211.97770362,39535992.09040974,0.0,3573622.799999992,58218439.57770361 
 01/04  07:00:00,80842345.98679402,75985126.09950013,0.0,3573622.799999992,94667573.586794 
 01/04  08:00:00,62140713.46884672,57283493.58155284,0.0,10720868.399999974,83113186.6688467 
 01/04  09:00:00,18385475.881067198,13528255.993773315,0.0,32162605.199999925,73614191.88106713 
 01/04  10:00:00,12264232.799572093,7407012.912278211,0.0,32162605.199999925,67492948.799572 
 01/04  11:00:00,8422298.637332955,3565078.7500390722,0.0,32162605.199999925,63651014.63733287 
 01/04  12:00:00,7516551.468150665,2659331.5808567824,0.0,32162605.199999925,62745267.468150586 
 01/04  13:00:00,9282295.406843714,4425075.519549832,0.0,32162605.199999925,61948110.20684364 
 01/04  14:00:00,4676791.966724899,1775768.4335261306,0.0,32162605.199999925,59905507.96672482 
 01/04  15:00:00,4780006.500853654,1878982.9676548857,0.0,32162605.199999925,60008722.500853576 
 01/04  16:00:00,7500922.436807285,2643702.549513402,0.0,32162605.199999925,62729638.43680721 
 01/04  17:00:00,10544632.829258474,5687412.94196459,0.0,32162605.199999925,65773348.82925838 
 01/04  18:00:00,27356762.58751226,22499542.700218376,0.0,25015359.599999942,72875331.78751218 
 01/04  19:00:00,46587423.877751075,41730203.990457185,0.0,17868113.99999996,79832945.07775101 
 01/04  20:00:00,13352458.350590939,9585091.391776329,0.0,17868113.99999996,46597979.550590895 
 01/04  21:00:00,32788199.018987857,27930979.131693974,0.0,10720868.399999974,56323573.418987826 
 01/04  22:00:00,36413669.62609872,31556449.73880484,0.0,10720868.399999974,59949044.02609869 
 01/04  23:00:00,49818904.57819891,44961684.69090503,0.0,3573622.799999992,63644132.178198904 
 01/04  24:00:00,52368288.41882701,47511068.53153313,0.0,1786811.399999996,64406704.61882701 
 01/05  01:00:00,53073060.65810109,48215840.77080721,0.0,1786811.399999996,65111476.85810108 
 01/05  02:00:00,52654252.46308696,47797032.57579307,0.0,1786811.399999996,64692668.66308695 
 01/05  03:00:00,52420983.64538027,47563763.75808639,0.0,1786811.399999996,64459399.84538026 
 01/05  04:00:00,52282081.83019537,47424861.94290148,0.0,1786811.399999996,64320498.030195355 
 01/05  05:00:00,52360999.67051239,47503779.7832185,0.0,1786811.399999996,64399415.87051238 
 01/05  06:00:00,50409638.169881485,45552418.2825876,0.0,3573622.799999992,64234865.76988148 
 01/05  07:00:00,86458338.33726653,81601118.44997264,0.0,3573622.799999992,100283565.93726653 
 01/05  08:00:00,67290754.02147217,62433534.134178296,0.0,10720868.399999974,88263227.22147216 
 01/05  09:00:00,19356628.603953563,14499408.71665968,0.0,32162605.199999925,74585344.60395348 
 01/05  10:00:00,10917606.692675827,6441424.994361927,0.0,32162605.199999925,66146322.69267575 
 01/05  11:00:00,7754888.065440083,2897668.1781462,0.0,32162605.199999925,62983604.06544 
 01/05  12:00:00,3186086.543390788,1292312.4650752977,0.0,32162605.199999925,58414802.543390706 
 01/05  13:00:00,5582690.925050338,725471.0377564554,0.0,32162605.199999925,58248505.725050256 
 01/05  14:00:00,4020487.0502232565,0.0,90132.81337884927,32162605.199999925,59249203.05022318 
 01/05  15:00:00,3614019.3262482807,0.0,1488791.163955845,32162605.199999925,58842735.32624819 
 01/05  16:00:00,4075908.140161247,0.0,2370190.3412892222,32162605.199999925,59304624.14016116 
 01/05  17:00:00,4438437.996800881,0.0,25097.925382129342,32162605.199999925,59667153.9968008 
 01/05  18:00:00,9646649.09374295,5844272.082240522,0.0,25015359.599999942,55165218.29374287 
 01/05  19:00:00,34261477.53981277,29404257.652518887,0.0,17868113.99999996,67506998.73981272 
 01/05  20:00:00,7981163.571566147,4534939.032578169,0.0,17868113.99999996,41226684.77156611 
 01/05  21:00:00,26960035.527323317,22102815.640029434,0.0,10720868.399999974,50495409.92732328 
 01/05  22:00:00,32227029.272400893,27369809.38510701,0.0,10720868.399999974,55762403.67240086 
 01/05  23:00:00,46175228.78907416,41318008.90178028,0.0,3573622.799999992,60000456.389074154 
 01/05  24:00:00,48721270.562733516,43864050.67543964,0.0,1786811.399999996,60759686.762733504 
 01/06  01:00:00,49676828.78787303,44819608.90057914,0.0,1786811.399999996,61715244.98787302 
 01/06  02:00:00,50586956.41423342,45729736.52693953,0.0,1786811.399999996,62625372.61423341 
 01/06  03:00:00,51138125.03201272,46280905.14471884,0.0,1786811.399999996,63176541.23201271 
 01/06  04:00:00,51860743.62502274,47003523.73772886,0.0,1786811.399999996,63899159.82502273 
 01/06  05:00:00,52456613.24188231,47599393.35458842,0.0,1786811.399999996,64495029.4418823 
 01/06  06:00:00,50667451.02506793,45810231.13777406,0.0,3573622.799999992,64492678.62506793 
 01/06  07:00:00,87601443.49969454,82744223.61240065,0.0,3573622.799999992,101426671.09969452 
 01/06  08:00:00,68583575.255944,63726355.36865011,0.0,10720868.399999974,89556048.45594397 
 01/06  09:00:00,18131891.307907432,13274671.42061355,0.0,32162605.199999925,73360607.30790736 
 01/06  10:00:00,8912497.222244112,4055277.334950229,0.0,32162605.199999925,64141213.22224403 
 01/06  11:00:00,4867712.795376787,2175760.6235231203,0.0,32162605.199999925,60096428.7953767 
 01/06  12:00:00,2647631.7229687003,753857.6446532104,0.0,32162605.199999925,57876347.722968616 
 01/06  13:00:00,3896682.2091103666,513231.97043117986,0.0,32162605.199999925,56562497.00911028 
 01/06  14:00:00,3806258.4786846414,0.0,42526.01787901155,32162605.199999925,59034974.47868456 
 01/06  15:00:00,3980597.138319063,0.0,440074.3396902926,32162605.199999925,59209313.138318986 
 01/06  16:00:00,3232625.225013147,0.0,649109.642922214,32162605.199999925,58461341.22501306 
 01/06  17:00:00,4857219.887293883,0.0,0.0,32162605.199999925,60085935.8872938 
 01/06  18:00:00,8940172.535062851,5137795.5235604225,0.0,25015359.599999942,54458741.73506277 
 01/06  19:00:00,32848383.47089898,27991163.583605096,0.0,17868113.99999996,66093904.67089893 
 01/06  20:00:00,6634291.44715395,3251573.272995971,0.0,17868113.99999996,39879812.64715391 
 01/06  21:00:00,24579528.738034636,19722308.850740753,0.0,10720868.399999974,48114903.138034604 
 01/06  22:00:00,28953037.159565423,24095817.272271536,0.0,10720868.399999974,52488411.559565395 
 01/06  23:00:00,42163382.09240804,37306162.20511416,0.0,3573622.799999992,55988609.69240804 
 01/06  24:00:00,44509192.02278138,39651972.13548749,0.0,1786811.399999996,56547608.22278137 
 01/07  01:00:00,16213498.20111823,12446131.242303621,0.0,1786811.399999996,25689013.201118223 
 01/07  02:00:00,28421611.575755037,23564391.688461155,0.0,1786811.399999996,37897126.57575503 
 01/07  03:00:00,27373497.902361482,22516278.015067596,0.0,1786811.399999996,36849012.902361475 
 01/07  04:00:00,29898685.419602823,25041465.53230894,0.0,1786811.399999996,39374200.41960281 
 01/07  05:00:00,30799453.562301427,25942233.675007544,0.0,1786811.399999996,40274968.56230141 
 01/07  06:00:00,31432811.06552637,26575591.178232487,0.0,1786811.399999996,40908326.065526366 
